id,title,price_gbp,rating,availability,created_at
1,A Light in the Attic,51.77,3,In stock,2026-08-28 10:25:38
2,Tipping the Velvet,53.74,1,In stock,2026-08-28 10:25:38
3,Soumission,50.1,1,In stock,2026-08-28 10:25:38
4,Sharp Objects,47.82,4,In stock,2026-08-28 10:25:38
5,Sapiens: A Brief History of Humankind,54.23,5,In stock,2026-08-28 10:25:38
6,The Requiem Red,22.65,1,In stock,2026-08-28 10:25:38
7,The Dirty Little Secrets of Getting Your Dream Job,33.34,4,In stock,2026-08-28 10:25:38
8,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,In stock,2026-08-28 10:25:38
9,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,In stock,2026-08-28 10:25:38
10,The Black Maria,52.15,1,In stock,2026-08-28 10:25:38
11,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,In stock,2026-08-28 10:25:38
12,Shakespeare's Sonnets,20.66,4,In stock,2026-08-28 10:25:38
13,Set Me Free,17.46,5,In stock,2026-08-28 10:25:38
14,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,In stock,2026-08-28 10:25:38
15,Rip it Up and Start Again,35.02,5,In stock,2026-08-28 10:25:38
16,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,In stock,2026-08-28 10:25:38
17,Olio,23.88,1,In stock,2026-08-28 10:25:38
18,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,In stock,2026-08-28 10:25:38
19,Libertarianism for Beginners,51.33,2,In stock,2026-08-28 10:25:38
20,It's Only the Himalayas,45.17,2,In stock,2026-08-28 10:25:38
21,In Her Wake,12.84,1,In stock,2026-08-28 10:25:38
22,How Music Works,37.32,2,In stock,2026-08-28 10:25:38
23,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,In stock,2026-08-28 10:25:38
24,Chase Me (Paris Nights #2),25.27,5,In stock,2026-08-28 10:25:38
25,Black Dust,34.53,5,In stock,2026-08-28 10:25:38
26,Birdsong: A Story in Pictures,54.64,3,In stock,2026-08-28 10:25:38
27,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3,In stock,2026-08-28 10:25:38
28,Aladdin and His Wonderful Lamp,53.13,3,In stock,2026-08-28 10:25:38
29,Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,5,In stock,2026-08-28 10:25:38
30,Wall and Piece,44.18,4,In stock,2026-08-28 10:25:38
31,The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,In stock,2026-08-28 10:25:38
32,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,In stock,2026-08-28 10:25:38
33,The Elephant Tree,23.82,5,In stock,2026-08-28 10:25:38
34,The Bear and the Piano,36.89,1,In stock,2026-08-28 10:25:38
35,Sophie's World,15.94,5,In stock,2026-08-28 10:25:38
36,Penny Maybe,33.29,3,In stock,2026-08-28 10:25:38
37,Maude (1883-1993):She Grew Up with the country,18.02,2,In stock,2026-08-28 10:25:38
38,"In a Dark, Dark Wood",19.63,1,In stock,2026-08-28 10:25:38
39,Behind Closed Doors,52.22,4,In stock,2026-08-28 10:25:38
40,You can't bury them all: Poems,33.63,2,In stock,2026-08-28 10:25:38
41,Slow States of Collapse: Poems,57.31,3,In stock,2026-08-28 10:25:38
42,Reasons to Stay Alive,26.41,2,In stock,2026-08-28 10:25:38
43,Private Paris (Private #10),47.61,5,In stock,2026-08-28 10:25:38
44,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,In stock,2026-08-28 10:25:38
45,Without Borders (Wanderlove #1),45.07,2,In stock,2026-08-28 10:25:38
46,When We Collided,31.77,1,In stock,2026-08-28 10:25:38
47,"We Love You, Charlie Freeman",50.27,5,In stock,2026-08-28 10:25:38
48,Untitled Collection: Sabbath Poems 2014,14.27,4,In stock,2026-08-28 10:25:38
49,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,In stock,2026-08-28 10:25:38
50,Unicorn Tracks,18.78,3,In stock,2026-08-28 10:25:38
51,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1,In stock,2026-08-28 10:25:38
52,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1,In stock,2026-08-28 10:25:38
53,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3,In stock,2026-08-28 10:25:38
54,This One Summer,19.49,4,In stock,2026-08-28 10:25:38
55,Thirst,17.27,5,In stock,2026-08-28 10:25:38
56,The Torch Is Passed: A Harding Family Story,19.09,1,In stock,2026-08-28 10:25:38
57,The Secret of Dreadwillow Carse,56.13,1,In stock,2026-08-28 10:25:38
58,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,1,In stock,2026-08-28 10:25:38
59,The Past Never Ends,56.5,4,In stock,2026-08-28 10:25:38
60,The Natural History of Us (The Fine Art of Pretending #2),45.22,3,In stock,2026-08-28 10:25:38
61,The Nameless City (The Nameless City #1),38.16,4,In stock,2026-08-28 10:25:38
62,The Murder That Never Was (Forensic Instincts #5),54.11,3,In stock,2026-08-28 10:25:38
63,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,4,In stock,2026-08-28 10:25:38
64,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,4,In stock,2026-08-28 10:25:38
65,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,3,In stock,2026-08-28 10:25:38
66,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,5,In stock,2026-08-28 10:25:38
67,The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,1,In stock,2026-08-28 10:25:38
68,The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,1,In stock,2026-08-28 10:25:38
69,The Death of Humanity: and the Case for Life,58.11,4,In stock,2026-08-28 10:25:38
70,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,3,In stock,2026-08-28 10:25:38
71,The Art Forger,40.76,3,In stock,2026-08-28 10:25:38
72,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,1,In stock,2026-08-28 10:25:38
73,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,5,In stock,2026-08-28 10:25:38
74,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4,In stock,2026-08-28 10:25:38
75,Soul Reader,39.58,2,In stock,2026-08-28 10:25:38
76,Security,39.25,2,In stock,2026-08-28 10:25:38
77,"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,3,In stock,2026-08-28 10:25:38
78,"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,2,In stock,2026-08-28 10:25:38
79,Reskilling America: Learning to Labor in the Twenty-First Century,19.83,2,In stock,2026-08-28 10:25:38
80,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,3,In stock,2026-08-28 10:25:38
81,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5,In stock,2026-08-28 10:25:38
82,Princess Between Worlds (Wide-Awake Princess #5),13.34,5,In stock,2026-08-28 10:25:38
83,"Pop Gun War, Volume 1: Gift",18.97,1,In stock,2026-08-28 10:25:38
84,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,2,In stock,2026-08-28 10:25:38
