konyv_cime,ar_gbp,kategoria
It's Only the Himalayas,45.17,Travel
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,Travel
See America: A Celebration of Our National Parks & Treasured Sites,48.87,Travel
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,Travel
Under the Tuscan Sun,37.33,Travel
A Summer In Europe,44.34,Travel
The Great Railway Bazaar,30.54,Travel
A Year in Provence (Provence #1),56.88,Travel
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,Travel
Neither Here nor There: Travels in Europe,38.95,Travel
"1,000 Places to See Before You Die",26.08,Travel
Sharp Objects,47.82,Mystery
"In a Dark, Dark Wood",19.63,Mystery
The Past Never Ends,56.5,Mystery
A Murder in Time,16.64,Mystery
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,Mystery
The Last Mile (Amos Decker #2),54.21,Mystery
That Darkness (Gardiner and Renner #1),13.92,Mystery
Tastes Like Fear (DI Marnie Rome #3),10.69,Mystery
A Time of Torment (Charlie Parker #14),48.35,Mystery
A Study in Scarlet (Sherlock Holmes #1),16.73,Mystery
Poisonous (Max Revere Novels #3),26.8,Mystery
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,Mystery
Most Wanted,35.28,Mystery
Hide Away (Eve Duncan #20),11.84,Mystery
Boar Island (Anna Pigeon #19),59.48,Mystery
The Widow,27.26,Mystery
Playing with Fire,13.71,Mystery
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,Mystery
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,Mystery
Delivering the Truth (Quaker Midwife Mystery #1),20.89,Mystery
Tipping the Velvet,53.74,Historical Fiction
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,Historical Fiction
A Flight of Arrows (The Pathfinders #2),55.53,Historical Fiction
The House by the Lake,36.95,Historical Fiction
Mrs. Houdini,30.25,Historical Fiction
The Marriage of Opposites,28.08,Historical Fiction
Glory over Everything: Beyond The Kitchen House,45.84,Historical Fiction
"Love, Lies and Spies",20.55,Historical Fiction
A Paris Apartment,39.01,Historical Fiction
Lilac Girls,17.28,Historical Fiction
The Constant Princess (The Tudor Court #1),16.62,Historical Fiction
The Invention of Wings,37.34,Historical Fiction
World Without End (The Pillars of the Earth #2),32.97,Historical Fiction
The Passion of Dolssa,28.32,Historical Fiction
Girl With a Pearl Earring,26.77,Historical Fiction
Voyager (Outlander #3),21.07,Historical Fiction
The Red Tent,35.66,Historical Fiction
The Last Painting of Sara de Vos,55.55,Historical Fiction
The Guernsey Literary and Potato Peel Pie Society,49.53,Historical Fiction
Girl in the Blue Coat,46.83,Historical Fiction
